first_name,last_name,email,birth_date,country,gpa,major,iq,registrations
Wrennie,Belin,wbelina@cnn.com,4/10/1975,China,1.67,Sociology,103,"[{'grade_type': 'A_THROU_F', 'point_percent': 86, 'course': 'Sacred Writing'}, {'grade_type': 'PASS_FAIL', 'point_percent': 87, 'course': 'Ancient Philosophy'}, {'grade_type': 'AUDIT', 'point_percent': 90, 'course': 'Modern History-19th and 20th Centuries'}, {'grade_type': 'AUDIT', 'point_percent': 82, 'course': 'Intro to College English'}, {'grade_type': 'A_THROU_F', 'point_percent': 94, 'course': 'Renaissance to Baroque Art'}]"
Tobit,Burnyeat,tburnyeatb@woothemes.com,2/3/1960,Philippines,2.4,Political Science,87,"[{'grade_type': 'PASS_FAIL', 'point_percent': 88, 'course': 'Principles of Mathematics and Logic'}, {'grade_type': 'A_THROU_F', 'point_percent': 82, 'course': 'Modern History-19th and 20th Centuries'}, {'grade_type': 'PASS_FAIL', 'point_percent': 91, 'course': 'Greco-Roman Tradition'}, {'grade_type': 'PASS_FAIL', 'point_percent': 77, 'course': 'Sacred Writing'}, {'grade_type': 'A_THROU_F', 'point_percent': 77, 'course': 'Applied Themes in English'}]"
Rudie,Drayson,rdraysonc@answers.com,11/9/1920,Czech Republic,3.49,Mathematics,86,"[{'grade_type': 'PASS_FAIL', 'point_percent': 94, 'course': 'Greco-Roman Tradition'}, {'grade_type': 'A_THROU_F', 'point_percent': 88, 'course': 'Applied Themes in English'}, {'grade_type': 'PASS_FAIL', 'point_percent': 96, 'course': 'Ancient Philosophy'}]"
Paulo,Diano,pdianod@de.vu,1/6/1960,Peru,3.11,Economics,127,"[{'grade_type': 'PASS_FAIL', 'point_percent': 98, 'course': 'Knowledge'}, {'grade_type': 'AUDIT', 'point_percent': 94, 'course': 'Principles of Mathematics and Logic'}, {'grade_type': 'A_THROU_F', 'point_percent': 93, 'course': 'Intro to College English'}]"
Alis,Hamlett,ahamlette@wp.com,12/30/1942,Portugal,1.73,Economics,99,"[{'grade_type': 'AUDIT', 'point_percent': 92, 'course': 'Principles of Mathematics and Logic'}, {'grade_type': 'AUDIT', 'point_percent': 76, 'course': 'Greco-Roman Tradition'}, {'grade_type': 'PASS_FAIL', 'point_percent': 84, 'course': 'Ancient Philosophy'}]"
Gilbert,Drewell,gdrewellf@clickbank.net,2/22/1952,Honduras,2.14,American Studies,120,"[{'grade_type': 'AUDIT', 'point_percent': 99, 'course': 'Renaissance to Baroque Art'}, {'grade_type': 'AUDIT', 'point_percent': 76, 'course': 'Intro to College English'}]"
Hyacinthie,Guerri,hguerrig@ifeng.com,10/4/1963,China,2.06,Computer Science,108,"[{'grade_type': 'AUDIT', 'point_percent': 90, 'course': 'Research Methods: Research in Liberal Arts Disciplines'}, {'grade_type': 'PASS_FAIL', 'point_percent': 98, 'course': 'Modern History-19th and 20th Centuries'}]"
Thane,Cheyne,tcheyneh@usda.gov,6/27/1945,Nicaragua,2.64,Pre-Med,96,"[{'grade_type': 'A_THROU_F', 'point_percent': 82, 'course': 'Post-Classical History'}, {'grade_type': 'PASS_FAIL', 'point_percent': 94, 'course': 'Renaissance to Baroque Art'}, {'grade_type': 'PASS_FAIL', 'point_percent': 90, 'course': 'Applied Themes in English'}, {'grade_type': 'PASS_FAIL', 'point_percent': 96, 'course': 'Science: History and Methodology'}]"
Kathie,Kilbourn,kkilbourni@hostgator.com,11/1/1965,Kyrgyzstan,3.15,Anthropology,110,"[{'grade_type': 'PASS_FAIL', 'point_percent': 90, 'course': 'Ancient Philosophy'}, {'grade_type': 'PASS_FAIL', 'point_percent': 98, 'course': 'Sacred Writing'}, {'grade_type': 'AUDIT', 'point_percent': 93, 'course': 'World Views'}, {'grade_type': 'AUDIT', 'point_percent': 94, 'course': 'Knowledge'}, {'grade_type': 'A_THROU_F', 'point_percent': 95, 'course': 'Greco-Roman Tradition'}]"
Ajay,Beamson,abeamsonj@usgs.gov,1/11/1948,Portugal,2.49,Economics,117,"[{'grade_type': 'A_THROU_F', 'point_percent': 89, 'course': 'Greco-Roman Tradition'}]"
Worden,Stearn,wstearnk@chron.com,2/11/1937,Poland,2.77,Communications,129,"[{'grade_type': 'A_THROU_F', 'point_percent': 90, 'course': 'Research Methods: Research in Liberal Arts Disciplines'}]"
Morgana,Oxburgh,moxburghl@who.int,1/11/1937,China,2.0,Business,129,"[{'grade_type': 'A_THROU_F', 'point_percent': 77, 'course': 'Literary Genres'}, {'grade_type': 'AUDIT', 'point_percent': 93, 'course': 'Intro to College English'}, {'grade_type': 'PASS_FAIL', 'point_percent': 90, 'course': 'Post-Classical History'}, {'grade_type': 'A_THROU_F', 'point_percent': 98, 'course': 'Research Methods: Research in Liberal Arts Disciplines'}]"
Dew,Handyside,dhandysidem@harvard.edu,12/20/1954,Greece,2.3,American Studies,127,"[{'grade_type': 'PASS_FAIL', 'point_percent': 87, 'course': 'Research Methods: Research in Liberal Arts Disciplines'}, {'grade_type': 'A_THROU_F', 'point_percent': 91, 'course': 'Renaissance to Baroque Art'}, {'grade_type': 'AUDIT', 'point_percent': 87, 'course': 'Applied Ethics in Humanities'}]"
Rinaldo,Sherewood,rsherewoodn@pinterest.com,5/22/1942,Brazil,4.0,Political Science,113,"[{'grade_type': 'PASS_FAIL', 'point_percent': 97, 'course': 'Applied Themes in English'}, {'grade_type': 'PASS_FAIL', 'point_percent': 80, 'course': 'World Views'}, {'grade_type': 'PASS_FAIL', 'point_percent': 78, 'course': 'Renaissance to Baroque Art'}, {'grade_type': 'AUDIT', 'point_percent': 100, 'course': 'Science: History and Methodology'}, {'grade_type': 'AUDIT', 'point_percent': 80, 'course': 'Greco-Roman Tradition'}]"
Armand,Normadell,anormadello@merriam-webster.com,8/1/1960,Brazil,3.65,Mathematics,88,"[{'grade_type': 'AUDIT', 'point_percent': 83, 'course': 'Applied Themes in English'}, {'grade_type': 'A_THROU_F', 'point_percent': 89, 'course': 'Science: History and Methodology'}, {'grade_type': 'AUDIT', 'point_percent': 83, 'course': 'Literary Themes'}, {'grade_type': 'PASS_FAIL', 'point_percent': 82, 'course': 'Literary Genres'}]"
Freedman,Edmonson,fedmonsonp@go.com,11/26/1933,Brazil,3.93,Communications,112,"[{'grade_type': 'AUDIT', 'point_percent': 85, 'course': 'Greco-Roman Tradition'}, {'grade_type': 'PASS_FAIL', 'point_percent': 98, 'course': 'Post-Classical History'}, {'grade_type': 'PASS_FAIL', 'point_percent': 88, 'course': 'Science: History and Methodology'}]"
Thor,Palister,tpalisterq@cisco.com,12/9/1986,Brazil,3.07,Anthropology,110,"[{'grade_type': 'AUDIT', 'point_percent': 77, 'course': 'Modern Philosophy'}]"
Tracy,Gager,tgagerr@illinois.edu,5/21/1920,Thailand,2.46,Business,95,"[{'grade_type': 'AUDIT', 'point_percent': 91, 'course': 'Ancient Philosophy'}, {'grade_type': 'PASS_FAIL', 'point_percent': 99, 'course': 'Knowledge'}, {'grade_type': 'A_THROU_F', 'point_percent': 85, 'course': 'Modern History-19th and 20th Centuries'}, {'grade_type': 'PASS_FAIL', 'point_percent': 87, 'course': 'Physical Activity and Autonomy'}]"
Ritchie,Morpeth,rmorpeths@tmall.com,10/27/1960,Poland,3.52,American Studies,97,"[{'grade_type': 'AUDIT', 'point_percent': 86, 'course': 'Physical Activity and Autonomy'}, {'grade_type': 'PASS_FAIL', 'point_percent': 85, 'course': 'Greco-Roman Tradition'}]"
Imogen,Cleare,iclearet@seesaa.net,7/30/1994,Poland,1.91,Education,113,"[{'grade_type': 'A_THROU_F', 'point_percent': 92, 'course': 'Applied Themes in English'}]"
Jillana,Ranyell,jranyellu@furl.net,1/4/1974,Colombia,3.41,Anthropology,121,"[{'grade_type': 'PASS_FAIL', 'point_percent': 90, 'course': 'Intro to College English'}, {'grade_type': 'AUDIT', 'point_percent': 76, 'course': 'Renaissance to Baroque Art'}, {'grade_type': 'A_THROU_F', 'point_percent': 76, 'course': 'Principles of Mathematics and Logic'}]"
Pavlov,Jacomb,pjacombv@nsw.gov.au,6/28/1986,Dominican Republic,2.45,Political Science,84,"[{'grade_type': 'PASS_FAIL', 'point_percent': 80, 'course': 'Physical Activity and Autonomy'}, {'grade_type': 'AUDIT', 'point_percent': 100, 'course': 'Intro to College English'}]"
Stacee,Pearle,spearlew@altervista.org,9/5/1961,Malta,2.91,Political Science,100,"[{'grade_type': 'A_THROU_F', 'point_percent': 86, 'course': 'Knowledge'}, {'grade_type': 'PASS_FAIL', 'point_percent': 97, 'course': 'Science: History and Methodology'}]"
Joseph,Gallafant,jgallafantx@timesonline.co.uk,5/27/1990,China,1.77,Pre-Med,105,"[{'grade_type': 'A_THROU_F', 'point_percent': 85, 'course': 'Applied Ethics in Humanities'}, {'grade_type': 'A_THROU_F', 'point_percent': 75, 'course': 'Post-Classical History'}]"
Meyer,Haggarth,mhaggarthy@xinhuanet.com,3/4/1943,Cyprus,2.24,Communications,99,"[{'grade_type': 'PASS_FAIL', 'point_percent': 80, 'course': 'Knowledge'}, {'grade_type': 'A_THROU_F', 'point_percent': 100, 'course': 'Intro to College English'}]"
Brendan,Shayes,bshayesz@ed.gov,6/16/1962,France,3.54,Economics,101,"[{'grade_type': 'A_THROU_F', 'point_percent': 79, 'course': 'Literary Genres'}]"
Sondra,Janata,sjanata10@google.nl,1/24/1934,Ivory Coast,3.57,Mathematics,121,"[{'grade_type': 'AUDIT', 'point_percent': 89, 'course': 'Modern History-19th and 20th Centuries'}, {'grade_type': 'A_THROU_F', 'point_percent': 95, 'course': 'Renaissance to Baroque Art'}, {'grade_type': 'PASS_FAIL', 'point_percent': 85, 'course': 'Literary Genres'}, {'grade_type': 'PASS_FAIL', 'point_percent': 75, 'course': 'Ancient Philosophy'}, {'grade_type': 'AUDIT', 'point_percent': 80, 'course': 'Applied Ethics in Humanities'}]"
Lilly,Sinnie,lsinnie11@topsy.com,7/15/1958,Philippines,1.66,Sociology,95,"[{'grade_type': 'AUDIT', 'point_percent': 94, 'course': 'Applied Ethics in Humanities'}, {'grade_type': 'PASS_FAIL', 'point_percent': 98, 'course': 'Ancient Philosophy'}, {'grade_type': 'AUDIT', 'point_percent': 98, 'course': 'Principles of Mathematics and Logic'}, {'grade_type': 'A_THROU_F', 'point_percent': 79, 'course': 'Modern History-19th and 20th Centuries'}]"
Clerc,Lefever,clefever12@cbc.ca,10/16/1988,Canada,2.53,Sociology,122,"[{'grade_type': 'A_THROU_F', 'point_percent': 97, 'course': 'Knowledge'}, {'grade_type': 'A_THROU_F', 'point_percent': 75, 'course': 'World Views'}, {'grade_type': 'PASS_FAIL', 'point_percent': 91, 'course': 'Renaissance to Baroque Art'}]"
Ashley,Twinbrow,atwinbrow13@cbc.ca,12/5/1946,Slovenia,2.46,Pre-Med,105,"[{'grade_type': 'A_THROU_F', 'point_percent': 89, 'course': 'Science: History and Methodology'}, {'grade_type': 'A_THROU_F', 'point_percent': 91, 'course': 'Modern Philosophy'}, {'grade_type': 'A_THROU_F', 'point_percent': 86, 'course': 'Renaissance to Baroque Art'}, {'grade_type': 'A_THROU_F', 'point_percent': 100, 'course': 'Literary Themes'}]"
Denna,Krink,dkrink14@51.la,9/4/1965,China,2.16,Sociology,86,"[{'grade_type': 'AUDIT', 'point_percent': 80, 'course': 'Science: History and Methodology'}, {'grade_type': 'A_THROU_F', 'point_percent': 82, 'course': 'Literary Genres'}, {'grade_type': 'AUDIT', 'point_percent': 80, 'course': 'Principles of Mathematics and Logic'}, {'grade_type': 'A_THROU_F', 'point_percent': 84, 'course': 'Research Methods: Research in Liberal Arts Disciplines'}, {'grade_type': 'PASS_FAIL', 'point_percent': 89, 'course': 'Sacred Writing'}]"
Malory,Cicchillo,mcicchillo15@senate.gov,5/29/1937,Panama,2.14,Communications,116,"[{'grade_type': 'A_THROU_F', 'point_percent': 89, 'course': 'Greco-Roman Tradition'}, {'grade_type': 'PASS_FAIL', 'point_percent': 84, 'course': 'Renaissance to Baroque Art'}]"
Elden,Berzen,eberzen16@newsvine.com,11/2/1944,China,3.34,Philosophy,94,"[{'grade_type': 'AUDIT', 'point_percent': 90, 'course': 'Modern Philosophy'}]"
Lane,Gulston,lgulston17@abc.net.au,10/15/1985,Bahrain,2.46,Economics,125,"[{'grade_type': 'A_THROU_F', 'point_percent': 92, 'course': 'World Views'}]"
Dannel,Dudek,ddudek18@businesswire.com,10/1/1975,Dominican Republic,3.94,American Studies,107,"[{'grade_type': 'AUDIT', 'point_percent': 82, 'course': 'Literary Themes'}, {'grade_type': 'A_THROU_F', 'point_percent': 100, 'course': 'Physical Activity and Autonomy'}, {'grade_type': 'A_THROU_F', 'point_percent': 99, 'course': 'World Views'}, {'grade_type': 'A_THROU_F', 'point_percent': 75, 'course': 'Sacred Writing'}, {'grade_type': 'AUDIT', 'point_percent': 81, 'course': 'Modern History-19th and 20th Centuries'}]"
Nonah,Hardey,nhardey19@jugem.jp,8/4/1921,China,3.53,Anthropology,84,"[{'grade_type': 'A_THROU_F', 'point_percent': 75, 'course': 'Knowledge'}]"
Letitia,Saurin,lsaurin1a@hatena.ne.jp,1/2/1963,Philippines,3.63,Communications,98,"[{'grade_type': 'PASS_FAIL', 'point_percent': 87, 'course': 'Sacred Writing'}]"
Efren,Tippell,etippell1b@gnu.org,1/8/1997,Jordan,1.88,Philosophy,93,"[{'grade_type': 'A_THROU_F', 'point_percent': 92, 'course': 'Knowledge'}, {'grade_type': 'PASS_FAIL', 'point_percent': 98, 'course': 'Renaissance to Baroque Art'}, {'grade_type': 'AUDIT', 'point_percent': 96, 'course': 'Greco-Roman Tradition'}]"
Maegan,Gover,mgover1c@stanford.edu,6/11/1953,Philippines,1.95,Education,92,"[{'grade_type': 'A_THROU_F', 'point_percent': 100, 'course': 'Knowledge'}, {'grade_type': 'A_THROU_F', 'point_percent': 90, 'course': 'Research Methods: Research in Liberal Arts Disciplines'}]"
Moll,MacLice,mmaclice1d@shareasale.com,11/24/1987,Poland,3.49,Pre-Med,127,"[{'grade_type': 'AUDIT', 'point_percent': 100, 'course': 'Science: History and Methodology'}, {'grade_type': 'A_THROU_F', 'point_percent': 86, 'course': 'Principles of Mathematics and Logic'}, {'grade_type': 'PASS_FAIL', 'point_percent': 85, 'course': 'Research Methods: Research in Liberal Arts Disciplines'}, {'grade_type': 'AUDIT', 'point_percent': 83, 'course': 'World Views'}]"
Germaine,Tuminelli,gtuminelli1e@acquirethisname.com,8/30/1980,China,2.34,Business,127,"[{'grade_type': 'AUDIT', 'point_percent': 83, 'course': 'Renaissance to Baroque Art'}]"
Janene,Erlam,jerlam1f@goo.ne.jp,2/24/1951,Indonesia,2.07,American Studies,119,"[{'grade_type': 'A_THROU_F', 'point_percent': 96, 'course': 'Literary Themes'}, {'grade_type': 'PASS_FAIL', 'point_percent': 77, 'course': 'Renaissance to Baroque Art'}, {'grade_type': 'PASS_FAIL', 'point_percent': 90, 'course': 'Post-Classical History'}, {'grade_type': 'A_THROU_F', 'point_percent': 79, 'course': 'Research Methods: Research in Liberal Arts Disciplines'}]"
Linus,Ferries,lferries1g@msu.edu,11/20/1967,Russia,2.84,Sociology,126,"[{'grade_type': 'A_THROU_F', 'point_percent': 90, 'course': 'Principles of Mathematics and Logic'}, {'grade_type': 'AUDIT', 'point_percent': 85, 'course': 'Sacred Writing'}]"
Hetti,Gauntley,hgauntley1h@google.nl,2/24/1947,Brazil,1.91,American Studies,96,"[{'grade_type': 'A_THROU_F', 'point_percent': 99, 'course': 'World Views'}, {'grade_type': 'A_THROU_F', 'point_percent': 84, 'course': 'Applied Themes in English'}, {'grade_type': 'A_THROU_F', 'point_percent': 99, 'course': 'Intro to College English'}, {'grade_type': 'PASS_FAIL', 'point_percent': 98, 'course': 'Knowledge'}, {'grade_type': 'AUDIT', 'point_percent': 84, 'course': 'Literary Themes'}]"
Aldo,Waldron,awaldron1i@hud.gov,8/24/1948,Pakistan,3.11,Anthropology,80,"[{'grade_type': 'A_THROU_F', 'point_percent': 88, 'course': 'Greco-Roman Tradition'}, {'grade_type': 'PASS_FAIL', 'point_percent': 78, 'course': 'Principles of Mathematics and Logic'}]"
Lauree,Prowse,lprowse1j@mail.ru,11/8/1977,Philippines,2.2,Education,129,"[{'grade_type': 'A_THROU_F', 'point_percent': 96, 'course': 'Science: History and Methodology'}, {'grade_type': 'A_THROU_F', 'point_percent': 93, 'course': 'Physical Activity and Autonomy'}, {'grade_type': 'A_THROU_F', 'point_percent': 81, 'course': 'Greco-Roman Tradition'}]"
Lyndel,Iannello,liannello1k@usda.gov,6/12/1981,China,1.74,Computer Science,111,"[{'grade_type': 'AUDIT', 'point_percent': 76, 'course': 'Sacred Writing'}, {'grade_type': 'A_THROU_F', 'point_percent': 82, 'course': 'Ancient Philosophy'}, {'grade_type': 'AUDIT', 'point_percent': 83, 'course': 'Modern Philosophy'}, {'grade_type': 'PASS_FAIL', 'point_percent': 76, 'course': 'Greco-Roman Tradition'}]"
Gaultiero,Hutcheons,ghutcheons1l@trellian.com,3/17/1957,Portugal,2.62,Business,80,"[{'grade_type': 'PASS_FAIL', 'point_percent': 92, 'course': 'Sacred Writing'}, {'grade_type': 'A_THROU_F', 'point_percent': 82, 'course': 'Greco-Roman Tradition'}, {'grade_type': 'A_THROU_F', 'point_percent': 77, 'course': 'Modern Philosophy'}, {'grade_type': 'PASS_FAIL', 'point_percent': 90, 'course': 'Renaissance to Baroque Art'}]"
Ree,Addicott,raddicott1m@tamu.edu,5/29/1981,France,3.54,Business,114,"[{'grade_type': 'PASS_FAIL', 'point_percent': 85, 'course': 'Modern History-19th and 20th Centuries'}, {'grade_type': 'A_THROU_F', 'point_percent': 78, 'course': 'Literary Themes'}, {'grade_type': 'AUDIT', 'point_percent': 100, 'course': 'Intro to College English'}]"
Jania,Woolland,jwoolland1n@marketwatch.com,2/3/1933,Venezuela,3.36,Education,95,"[{'grade_type': 'AUDIT', 'point_percent': 98, 'course': 'Renaissance to Baroque Art'}, {'grade_type': 'A_THROU_F', 'point_percent': 87, 'course': 'Greco-Roman Tradition'}, {'grade_type': 'AUDIT', 'point_percent': 95, 'course': 'Research Methods: Research in Liberal Arts Disciplines'}, {'grade_type': 'PASS_FAIL', 'point_percent': 78, 'course': 'Sacred Writing'}, {'grade_type': 'AUDIT', 'point_percent': 77, 'course': 'Ancient Philosophy'}]"
Corliss,Stapylton,cstapylton1o@youtu.be,3/12/1985,Philippines,2.73,Education,107,"[{'grade_type': 'AUDIT', 'point_percent': 81, 'course': 'Physical Activity and Autonomy'}, {'grade_type': 'A_THROU_F', 'point_percent': 100, 'course': 'Literary Genres'}, {'grade_type': 'A_THROU_F', 'point_percent': 82, 'course': 'Intro to College English'}, {'grade_type': 'PASS_FAIL', 'point_percent': 99, 'course': 'Post-Classical History'}, {'grade_type': 'PASS_FAIL', 'point_percent': 80, 'course': 'Applied Ethics in Humanities'}]"
Ado,Melpuss,amelpuss1p@oaic.gov.au,4/17/1922,China,3.33,American Studies,81,"[{'grade_type': 'PASS_FAIL', 'point_percent': 97, 'course': 'Applied Themes in English'}, {'grade_type': 'PASS_FAIL', 'point_percent': 80, 'course': 'Modern History-19th and 20th Centuries'}]"
Barret,Woolens,bwoolens1q@sina.com.cn,3/1/1978,China,2.87,Anthropology,122,"[{'grade_type': 'A_THROU_F', 'point_percent': 86, 'course': 'Principles of Mathematics and Logic'}, {'grade_type': 'AUDIT', 'point_percent': 92, 'course': 'Research Methods: Research in Liberal Arts Disciplines'}, {'grade_type': 'AUDIT', 'point_percent': 76, 'course': 'Literary Themes'}, {'grade_type': 'AUDIT', 'point_percent': 91, 'course': 'Ancient Philosophy'}]"
Amory,Linklater,alinklater1r@nps.gov,9/11/1945,Russia,3.0,Sociology,85,"[{'grade_type': 'AUDIT', 'point_percent': 77, 'course': 'Principles of Mathematics and Logic'}, {'grade_type': 'AUDIT', 'point_percent': 86, 'course': 'Modern History-19th and 20th Centuries'}, {'grade_type': 'PASS_FAIL', 'point_percent': 97, 'course': 'Literary Themes'}]"
Shelby,Tandy,standy1s@moonfruit.com,10/6/1933,China,3.83,Economics,85,"[{'grade_type': 'A_THROU_F', 'point_percent': 97, 'course': 'World Views'}, {'grade_type': 'PASS_FAIL', 'point_percent': 90, 'course': 'Post-Classical History'}, {'grade_type': 'PASS_FAIL', 'point_percent': 90, 'course': 'Sacred Writing'}]"
Berkly,Baldelli,bbaldelli1t@upenn.edu,11/3/1960,China,1.55,Mathematics,93,"[{'grade_type': 'A_THROU_F', 'point_percent': 95, 'course': 'Science: History and Methodology'}, {'grade_type': 'PASS_FAIL', 'point_percent': 83, 'course': 'Ancient Philosophy'}]"
Marisa,Gaddes,mgaddes1u@disqus.com,5/4/1941,Latvia,3.14,Business,109,"[{'grade_type': 'AUDIT', 'point_percent': 100, 'course': 'Literary Genres'}, {'grade_type': 'AUDIT', 'point_percent': 85, 'course': 'Physical Activity and Autonomy'}, {'grade_type': 'PASS_FAIL', 'point_percent': 100, 'course': 'Science: History and Methodology'}, {'grade_type': 'AUDIT', 'point_percent': 78, 'course': 'Renaissance to Baroque Art'}]"
Rorie,Hurling,rhurling1v@google.nl,7/18/1935,Armenia,3.81,Pre-Med,130,"[{'grade_type': 'A_THROU_F', 'point_percent': 85, 'course': 'Renaissance to Baroque Art'}, {'grade_type': 'A_THROU_F', 'point_percent': 95, 'course': 'Ancient Philosophy'}]"
Ambrosio,Harte,aharte1w@unesco.org,7/25/1963,Greece,2.82,Communications,112,"[{'grade_type': 'A_THROU_F', 'point_percent': 85, 'course': 'Ancient Philosophy'}, {'grade_type': 'AUDIT', 'point_percent': 96, 'course': 'Applied Ethics in Humanities'}, {'grade_type': 'AUDIT', 'point_percent': 86, 'course': 'Research Methods: Research in Liberal Arts Disciplines'}]"
Silvio,Rizzillo,srizzillo1x@umn.edu,6/11/1929,Portugal,3.52,Communications,107,"[{'grade_type': 'PASS_FAIL', 'point_percent': 87, 'course': 'Modern Philosophy'}]"
Wilone,Miskimmon,wmiskimmon1y@comsenz.com,12/27/1997,Azerbaijan,2.58,Sociology,80,"[{'grade_type': 'PASS_FAIL', 'point_percent': 86, 'course': 'Intro to College English'}, {'grade_type': 'PASS_FAIL', 'point_percent': 83, 'course': 'Modern History-19th and 20th Centuries'}, {'grade_type': 'AUDIT', 'point_percent': 95, 'course': 'Physical Activity and Autonomy'}, {'grade_type': 'AUDIT', 'point_percent': 93, 'course': 'Post-Classical History'}]"
Tedman,Bryning,tbryning1z@xinhuanet.com,9/7/1997,Greece,2.25,Mathematics,91,"[{'grade_type': 'PASS_FAIL', 'point_percent': 82, 'course': 'Greco-Roman Tradition'}, {'grade_type': 'PASS_FAIL', 'point_percent': 81, 'course': 'Principles of Mathematics and Logic'}]"
Teressa,Duhig,tduhig20@dot.gov,7/4/1968,Mexico,3.57,Business,109,"[{'grade_type': 'A_THROU_F', 'point_percent': 78, 'course': 'Intro to College English'}, {'grade_type': 'PASS_FAIL', 'point_percent': 100, 'course': 'World Views'}]"
Abey,Caves,acaves21@nature.com,4/13/1933,Mali,3.35,Business,80,"[{'grade_type': 'A_THROU_F', 'point_percent': 96, 'course': 'Literary Genres'}, {'grade_type': 'A_THROU_F', 'point_percent': 91, 'course': 'Knowledge'}, {'grade_type': 'AUDIT', 'point_percent': 96, 'course': 'Science: History and Methodology'}, {'grade_type': 'A_THROU_F', 'point_percent': 84, 'course': 'Physical Activity and Autonomy'}]"
Nancey,Van de Vlies,nvandevlies22@java.com,8/26/1981,Greece,3.37,Computer Science,114,"[{'grade_type': 'A_THROU_F', 'point_percent': 84, 'course': 'Literary Themes'}, {'grade_type': 'A_THROU_F', 'point_percent': 87, 'course': 'World Views'}]"
Liva,Alcott,lalcott23@angelfire.com,7/4/1929,China,3.68,Economics,122,"[{'grade_type': 'A_THROU_F', 'point_percent': 76, 'course': 'Science: History and Methodology'}, {'grade_type': 'AUDIT', 'point_percent': 83, 'course': 'Physical Activity and Autonomy'}, {'grade_type': 'A_THROU_F', 'point_percent': 92, 'course': 'Knowledge'}, {'grade_type': 'A_THROU_F', 'point_percent': 97, 'course': 'Applied Themes in English'}]"
Selestina,Charpling,scharpling24@google.com,3/7/1965,Pakistan,1.82,Philosophy,123,"[{'grade_type': 'AUDIT', 'point_percent': 92, 'course': 'Greco-Roman Tradition'}]"
